open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,changeVl
19.3,19.37,19.19,19.09,11587.02,0.03,0.16,19.146,19.009,19.492,13319.0,21169.29,37379.5,0.29,1
19.15,19.24,19.16,19.07,10523.48,0.05,0.26,19.034,19.13,19.503,15351.01,25566.77,38630.63,0.26,1
19.29,19.44,19.11,19.01,12048.09,-0.04,-0.21,18.932,19.219,19.52,16887.18,28114.1,40994.3,0.3,-1
19.11,19.36,19.15,19.06,11590.1,0.03,0.16,18.84,19.328,19.559,19101.27,30221.35,43046.08,0.29,1
18.63,19.2,19.12,18.56,20846.31,0.49,2.63,18.704,19.453,19.594,27456.28,34533.27,46854.69,0.52,1
18.67,18.88,18.63,18.48,21747.06,-0.02,-0.11,18.872,19.56,19.659,29019.59,40183.96,53335.91,0.54,-1
18.65,18.99,18.65,18.48,18204.36,0.0,0.0,19.226,19.703,19.655,35782.54,45624.24,54168.37,0.46,0
18.51,18.88,18.65,18.0,23118.5,0.18,0.97,19.506,19.815,19.642,39341.01,47925.41,54687.31,0.58,1
19.95,19.95,18.47,17.96,53365.19,-1.49,-7.46,19.816,19.898,19.636,41341.43,48643.36,55075.25,1.34,-1
20.26,20.49,19.96,19.82,28662.83,-0.44,-2.16,20.202,19.986,19.636,41610.25,48972.56,54759.24,0.72,-1
20.05,20.83,20.4,20.05,55561.81,0.35,1.75,20.248,19.974,19.562,51348.33,53589.71,56335.69,1.39,1
20.31,20.34,20.05,20.02,35996.74,-0.15,-0.74,20.18,19.875,19.444,55465.94,51694.48,57653.44,0.9,-1
20.22,20.45,20.2,20.06,33120.56,-0.2,-0.98,20.124,19.821,19.364,56509.8,53874.5,62432.88,0.83,-1
20.38,20.56,20.4,19.75,54709.33,0.21,1.04,19.98,19.79,19.305,55945.29,55870.8,65193.66,1.37,1
20.0,20.5,20.19,19.97,77353.22,0.13,0.65,19.77,19.734,19.255,56334.87,59176.11,68468.46,1.94,1
19.78,20.4,20.06,19.47,76149.86,0.29,1.47,19.7,19.757,19.291,55831.08,66487.87,66605.56,2.61,1
19.44,19.96,19.77,19.39,41216.04,0.29,1.49,19.57,19.607,19.353,47923.03,62712.51,64093.56,1.41,1
19.4,19.68,19.48,19.3,30298.01,0.13,0.67,19.518,19.468,19.413,51239.2,61449.2,64113.79,1.04,1
19.6,19.99,19.35,19.31,56657.23,-0.49,-2.47,19.6,19.373,19.499,55796.32,61507.13,64550.3,1.42,-1
